"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Jordan Love","GB","511.1","331.3","3845.9","26.7","10.2","46.5","194.9","0.6","3.0","267.7"
"Sam Darnold","SEA","506.9","337.0","4090.7","27.3","13.1","44.0","131.9","0.6","5.3","266.2"
"C.J. Stroud","HOU","550.9","347.4","3877.7","23.5","11.4","54.4","238.8","1.0","3.5","260.8"
"Bryce Young","CAR","525.6","334.3","3457.3","22.8","12.0","57.9","261.1","3.0","3.0","255.7"
"Geno Smith","NYJ","520.8","340.7","3459.1","22.1","14.8","57.3","210.7","1.0","2.2","234.8"
"Cam Ward","TEN","563.6","345.0","3587.6","19.9","10.4","44.2","185.3","2.0","5.4","232.4"
"Jacoby Brissett","ARI","541.6","347.6","3591.8","19.6","10.4","48.7","214.3","1.4","4.8","232.2"
"Aaron Rodgers","PIT","527.0","339.3","3484.8","21.7","9.4","26.0","82.6","0.6","2.7","223.5"
"Fernando Mendoza","LV","431.6","276.2","2892.0","16.1","12.2","50.4","227.4","1.3","2.7","192.9"
"Tua Tagovailoa","ATL","378.9","248.7","2723.2","15.8","8.3","19.6","46.6","0.1","2.3","164.5"
"Deshaun Watson","CLE","342.4","210.8","2246.1","11.8","8.3","49.7","218.6","1.3","3.8","150.7"
"Shedeur Sanders","CLE","202.2","122.4","1364.1","7.1","5.5","21.1","122.3","0.5","1.2","90.7"
"Michael Penix Jr.","ATL","188.7","119.1","1349.5","7.2","3.7","13.5","46.9","0.3","1.0","83.5"
"Kirk Cousins","LV","114.3","74.2","784.5","5.0","3.9","5.2","9.0","0.1","0.9","47.2"
"Ty Simpson","LAR","40.9","25.8","298.2","2.6","0.8","4.1","18.4","0.0","0.1","23.4"
"Carson Beck","ARI","49.0","30.9","338.5","2.2","1.2","5.2","20.1","0.1","0.2","23.2"
"J.J. McCarthy","MIN","48.6","30.2","340.3","1.8","1.4","5.9","27.0","0.2","0.4","22.5"
"Marcus Mariota","WAS","34.3","21.7","254.0","2.0","0.8","1.4","7.9","0.0","0.1","18.0"
"Riley Leonard","IND","27.3","17.2","192.8","1.3","0.5","2.7","11.5","0.0","0.6","12.4"
"Justin Fields","KC","26.2","16.3","175.2","1.0","0.8","3.6","18.4","0.1","0.1","12.1"
"Shane Buechele","BUF","20.0","14.0","151.0","1.0","0.0","4.0","20.0","0.0","0.0","12.0"
"Jameis Winston","NYG","26.1","15.5","194.7","1.3","1.3","2.6","10.9","0.0","0.6","11.7"
"Quinn Ewers","MIA","24.5","16.0","167.7","1.2","0.9","3.0","11.7","0.0","0.1","11.6"
"Tyson Bagent","CHI","23.0","15.1","169.6","1.0","0.2","2.8","8.6","0.0","0.1","11.5"
"Will Levis","TEN","23.0","14.0","136.0","1.0","0.0","4.0","19.0","0.0","0.0","11.3"
"Jake Browning","TB","22.5","14.3","157.4","1.0","0.9","3.1","15.7","0.0","0.1","11.2"
"Jarrett Stidham","DEN","23.1","14.4","152.3","1.1","0.3","3.3","12.9","0.0","0.1","11.2"
"Davis Mills","HOU","26.1","16.0","175.9","0.9","0.5","2.7","9.0","0.0","0.1","11.1"
"Tyrod Taylor","GB","25.0","15.4","173.5","0.9","0.8","2.1","10.7","0.0","0.2","10.9"
"Joshua Dobbs","DET","21.7","14.8","156.5","1.0","0.3","3.3","7.9","0.1","0.1","10.7"
"Tommy DeVito","NE","22.5","14.7","149.9","1.0","0.4","1.9","9.5","0.1","0.1","10.6"
"Tyler Huntley","BAL","18.3","11.8","130.8","0.9","0.3","3.5","18.7","0.0","0.1","10.6"
"Mac Jones","SF","22.5","14.9","160.2","1.0","0.5","2.7","8.4","0.0","0.1","10.5"
"Trey Lance","LAC","22.2","13.6","148.3","1.0","0.8","2.7","12.9","0.0","0.1","10.4"
"Anthony Richardson Sr.","IND","16.0","10.0","109.0","1.0","0.0","5.0","20.0","0.0","0.0","10.4"
"Joe Flacco","CIN","24.9","16.1","169.4","1.2","0.8","2.2","8.6","0.0","0.6","10.3"
"Tanner McKee","PHI","20.3","12.8","141.0","1.0","0.2","3.0","9.9","0.0","0.0","10.3"
"Kenny Pickett","CAR","22.9","14.4","157.9","1.0","0.8","2.8","10.6","0.0","0.1","10.3"
"Spencer Rattler","NO","22.9","14.9","157.2","0.9","0.8","2.7","12.1","0.0","0.1","10.2"
"Sam Howell","DAL","21.9","13.8","144.5","1.1","0.7","1.3","6.9","0.1","0.1","10.2"
"Drew Lock","SEA","20.6","13.0","146.7","0.9","0.8","3.1","13.1","0.0","0.1","10.0"
"Andy Dalton","PHI","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","9.9"
"Nick Mullens","JAC","18.8","13.2","140.7","1.1","0.4","3.1","3.7","0.0","0.1","9.8"
"Chris Oladokun","KC","23.0","14.0","148.0","1.0","0.0","4.0","18.0","0.0","1.0","9.7"
"Gardner Minshew II","ARI","22.9","14.3","147.8","0.8","0.3","2.4","9.3","0.0","0.1","9.7"
"Behren Morton","NE","15.0","10.0","118.0","1.0","0.0","2.0","9.0","0.0","0.0","9.6"
"Cade Klubnik","NYJ","20.6","13.0","136.8","0.9","0.6","1.8","8.2","0.0","0.1","9.4"
"Drew Allar","PIT","19.5","12.5","130.7","0.9","0.3","1.6","6.8","0.0","0.1","9.4"
"Adrian Martinez","SF","16.0","11.0","115.0","1.0","0.0","3.0","7.0","0.0","0.0","9.3"
"Garrett Nussmeier","KC","17.0","11.0","111.0","1.0","0.0","2.0","8.0","0.0","0.0","9.2"
"Cole Payton","PHI","14.0","9.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","9.2"
"Jalen Milroe","SEA","11.0","7.0","90.0","1.0","0.0","5.0","15.0","0.0","0.0","9.1"
"Kyle Allen","BUF","21.0","12.4","138.4","1.0","0.6","2.0","3.6","0.0","0.1","9.1"
"Mitchell Trubisky","TEN","23.3","13.5","138.6","0.8","0.4","2.6","4.8","0.0","0.1","9.0"
"Joe Milton III","DAL","16.3","10.3","119.3","0.7","0.3","3.0","14.3","0.0","0.0","8.5"
"Will Howard","PIT","14.0","8.7","95.7","0.7","0.3","1.3","5.0","0.0","0.0","6.7"
"Mason Rudolph","PIT","10.5","6.5","67.5","0.5","0.0","2.0","8.5","0.0","0.0","5.6"
"Brady Cook","NYJ","10.0","6.5","60.0","0.5","0.5","2.0","10.5","0.0","0.0","5.0"
"Josh Johnson","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stetson Bennett IV","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aidan O'Connell","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
